Bandgap (eV),Voc (V),Jsc (mA/cm^2),FF (%),PCE (%),J0 (mA/cm^2)
0.814,0.591872339222,53.6452596844,82.5730760758,26.2178973945,6.11660306565e-09
0.816,0.593690338833,53.5226938272,82.6121598738,26.250762459,5.68821299344e-09
0.818,0.595511212197,53.4057432306,82.6506396983,26.2859771101,5.2897666384e-09
0.82,0.597332611453,53.2895351763,82.6884755105,26.3210459259,4.91917542911e-09
0.822,0.59915933521,53.1839397401,82.7271797238,26.361556837,4.57449614034e-09
0.824,0.600994911452,53.0961430279,82.7657897704,26.4109870924,4.25392080299e-09
0.826,0.602826239585,52.9991959325,82.8037075231,26.4552098835,3.95576731263e-09
0.828,0.604655355677,52.8973178142,82.8409640582,26.4963895256,3.67847068841e-09
0.83,0.606490966631,52.808323271,82.8791219761,26.5443354155,3.42057493747e-09
0.832,0.608329440482,52.7247427157,82.9170498428,26.5948255413,3.18072548294e-09
0.834,0.610182147687,52.6697141429,82.954706987,26.6600826913,2.95766211675e-09
0.836,0.612039331414,52.6232866435,82.9919323458,26.7296441831,2.75021244077e-09
0.838,0.613896351397,52.5760022895,83.0294605147,26.7987679999,2.55728576274e-09
0.84,0.61576174912,52.5452241106,83.0672942519,26.8767047416,2.37786741536e-09
0.842,0.617629041432,52.5177537122,83.1046761697,26.9562398784,2.21101346948e-09
0.844,0.619494964921,52.486962407,83.1415458014,27.0338136123,2.05584581389e-09
0.846,0.621360209441,52.4542583113,83.1779163337,27.1101690632,1.9115475766e-09
0.848,0.623223689635,52.4174468363,83.2151035202,27.1845391096,1.77735886379e-09
0.85,0.62507902746,52.3636187471,83.2517284418,27.2494561439,1.65257279452e-09
0.852,0.626937968186,52.316592476,83.2879259457,27.3178218714,1.53653181077e-09
0.854,0.628806875324,52.2892217594,83.3238499086,27.3967336565,1.42862424362e-09
0.856,0.630672968768,52.2556389134,83.3597510323,27.4722220484,1.32828111798e-09
0.858,0.632541155098,52.2257696132,83.3960953445,27.5498572624,1.23497317923e-09
0.86,0.634416682452,52.2102078948,83.4321226448,27.6352444125,1.14820812646e-09
0.862,0.636293593495,52.1969137314,83.467740633,27.7217749471,1.06752803795e-09
0.864,0.638171872168,52.1858553548,83.5029561934,27.8094446026,9.92506975638e-10
0.866,0.640052730344,52.1794796893,83.5384257723,27.8998446928,9.22748756057e-10
0.868,0.641933960559,52.1733321753,83.5741194673,27.9905051574,8.57884876295e-10
0.87,0.643813804622,52.1638672869,83.6093737283,28.0792197883,7.9757258418e-10
0.872,0.645691902213,52.1503622794,83.6441792198,28.1655601935,7.41493082695e-10
0.874,0.647572274646,52.1409325598,83.6786162329,28.2541034313,6.89349859312e-10
0.876,0.649455414434,52.1365714606,83.7132693457,28.3456299599,6.40867131574e-10
0.878,0.651338446159,52.1314812771,83.7481739828,28.4368918057,5.95788400854e-10
0.88,0.65322339352,52.1297450416,83.7827160194,28.5299995831,5.53875106782e-10
0.882,0.655109234554,52.1293038822,83.8168842666,28.6237914918,5.14905375356e-10
0.884,0.656995182497,52.1285735159,83.8506679259,28.7173626233,4.78672854221e-10
0.886,0.658881511463,52.1281088911,83.8844100032,28.8111468017,4.44985629067e-10
0.888,0.660768284907,52.1280401481,83.9186158342,28.9053943604,4.13665215505e-10
0.89,0.662655328605,52.1280181593,83.9524488436,28.9996180098,3.84545621186e-10
0.892,0.664542579014,52.1279169657,83.9859108629,29.0937444693,3.57472473268e-10
0.894,0.666430066833,52.1278006227,84.0190052677,29.1878106097,3.32302206692e-10
0.896,0.668317839454,52.1277668336,84.0517554531,29.2818803864,3.08901309049e-10
0.898,0.670205870358,52.1277642479,84.0852618307,29.376307588,2.87145618089e-10
0.9,0.672094067992,52.1276103756,84.1184072703,29.47059606,2.66919668211e-10
0.902,0.67398248383,52.1274111055,84.1511952464,29.564807459,2.48116082542e-10
0.904,0.675871214274,52.1273629055,84.1836302516,29.6590580928,2.30635007414e-10
0.906,0.677760207094,52.1273625334,84.2157142119,29.7532872136,2.14383586293e-10
0.908,0.679649437034,52.1273611228,84.2482028732,29.8477327157,1.99275470426e-10
0.91,0.681538903459,52.1273594373,84.280696925,29.9422543494,1.85230363635e-10
0.912,0.683428606036,52.1273588367,84.3128467594,30.0367283611,1.72173598884e-10
0.914,0.685318538229,52.1273481646,84.3446548889,30.1311479129,1.60035744409e-10
0.916,0.687208685429,52.1272999705,84.376123623,30.2254962195,1.48752237352e-10
0.918,0.689098487708,52.1260872342,84.4075454916,30.3191969946,1.38263042981e-10
0.92,0.690987406539,52.1226262369,84.4393922263,30.4117576418,1.28512337711e-10
0.922,0.69286883712,52.1036059875,84.4707791411,30.4947663203,1.19448214266e-10
0.924,0.694737746862,52.0589102172,84.501599139,30.5619384054,1.11022407453e-10
0.926,0.696601522477,52.0034638218,84.5319491925,30.6222836172,1.03190039088e-10
0.928,0.698465549024,51.9481230111,84.5622061043,30.6825290963,9.5909380755e-11
0.93,0.700328740214,51.8907090157,84.5929818613,30.7415589927,8.91416331501e-11
0.932,0.702191557582,51.8321560884,84.6233702694,30.7996085116,8.28507208525e-11
0.934,0.70405060001,51.765659313,84.6533135262,30.852444858,7.70031014457e-11
